Reference,Value,Footprint,Description,Package,LCSC,Qty
B1_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B1_D2,BB833,SOT-23,Transistor,SOT-23,,1
B2_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B2_D2,BB833,SOT-23,Transistor,SOT-23,,1
B3_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B3_D2,BB833,SOT-23,Transistor,SOT-23,,1
B4_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B4_D2,BB833,SOT-23,Transistor,SOT-23,,1
B5_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B5_D2,BB833,SOT-23,Transistor,SOT-23,,1
B6_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B6_D2,BB833,SOT-23,Transistor,SOT-23,,1
B7_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B7_D2,BB833,SOT-23,Transistor,SOT-23,,1
B8_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B8_D2,BB833,SOT-23,Transistor,SOT-23,,1
B9_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B9_D2,BB833,SOT-23,Transistor,SOT-23,,1
B10_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B10_D2,BB833,SOT-23,Transistor,SOT-23,,1
B11_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B11_D2,BB833,SOT-23,Transistor,SOT-23,,1
B12_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B12_D2,BB833,SOT-23,Transistor,SOT-23,,1
B13_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B13_D2,BB833,SOT-23,Transistor,SOT-23,,1
B14_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B14_D2,BB833,SOT-23,Transistor,SOT-23,,1
B15_L1,100uH,L_1008_2520Metric,Inductor,1008,,1
B15_D2,BB833,SOT-23,Transistor,SOT-23,,1
CB001,Castellated_Edge,,,,,1
CL001,Castellated_Edge,,,,,1
CR001,Castellated_Edge,,,,,1
CT001,Castellated_Edge,,,,,1
CR002,Castellated_Edge,,,,,1
CB002,Castellated_Edge,,,,,1
CT002,Castellated_Edge,,,,,1
CL002,Castellated_Edge,,,,,1
CL003,Castellated_Edge,,,,,1
CB003,Castellated_Edge,,,,,1
CT003,Castellated_Edge,,,,,1
CR003,Castellated_Edge,,,,,1
CT004,Castellated_Edge,,,,,1
CR004,Castellated_Edge,,,,,1
CB004,Castellated_Edge,,,,,1
CL004,Castellated_Edge,,,,,1
CT005,Castellated_Edge,,,,,1
CR005,Castellated_Edge,,,,,1
CL005,Castellated_Edge,,,,,1
CB005,Castellated_Edge,,,,,1
CB006,Castellated_Edge,,,,,1
CL006,Castellated_Edge,,,,,1
CT006,Castellated_Edge,,,,,1
CR006,Castellated_Edge,,,,,1
CT007,Castellated_Edge,,,,,1
CL007,Castellated_Edge,,,,,1
CR007,Castellated_Edge,,,,,1
CB007,Castellated_Edge,,,,,1
CR008,Castellated_Edge,,,,,1
CL008,Castellated_Edge,,,,,1
CB008,Castellated_Edge,,,,,1
CT008,Castellated_Edge,,,,,1
CB009,Castellated_Edge,,,,,1
CR009,Castellated_Edge,,,,,1
CT009,Castellated_Edge,,,,,1
CL009,Castellated_Edge,,,,,1
CT010,Castellated_Edge,,,,,1
CB010,Castellated_Edge,,,,,1
CL010,Castellated_Edge,,,,,1
CR010,Castellated_Edge,,,,,1
CB011,Castellated_Edge,,,,,1
CL011,Castellated_Edge,,,,,1
CT011,Castellated_Edge,,,,,1
CR011,Castellated_Edge,,,,,1
CT012,Castellated_Edge,,,,,1
CR012,Castellated_Edge,,,,,1
CB012,Castellated_Edge,,,,,1
CL012,Castellated_Edge,,,,,1
CT013,Castellated_Edge,,,,,1
CR013,Castellated_Edge,,,,,1
CL013,Castellated_Edge,,,,,1
CB013,Castellated_Edge,,,,,1
CB014,Castellated_Edge,,,,,1
CL014,Castellated_Edge,,,,,1
CR014,Castellated_Edge,,,,,1
CT014,Castellated_Edge,,,,,1
CR015,Castellated_Edge,,,,,1
CB015,Castellated_Edge,,,,,1
CT015,Castellated_Edge,,,,,1
CL015,Castellated_Edge,,,,,1
CT016,Castellated_Edge,,,,,1
CL016,Castellated_Edge,,,,,1
CR016,Castellated_Edge,,,,,1
CB016,Castellated_Edge,,,,,1
CL017,Castellated_Edge,,,,,1
CR017,Castellated_Edge,,,,,1
CT017,Castellated_Edge,,,,,1
CB017,Castellated_Edge,,,,,1
CL018,Castellated_Edge,,,,,1
CR018,Castellated_Edge,,,,,1
CB018,Castellated_Edge,,,,,1
CT018,Castellated_Edge,,,,,1
CB019,Castellated_Edge,,,,,1
CT019,Castellated_Edge,,,,,1
