Ref,Val,Package,PosX,PosY,Rot,Side
"B1_D2","BB833","SOT-23",5.000000,-58.000000,0.000000,top
"B1_L1","100uH","L_1008_2520Metric",9.000000,-58.000000,0.000000,top
"B2_D2","BB833","SOT-23",13.000000,-58.000000,0.000000,top
"B2_L1","100uH","L_1008_2520Metric",17.000000,-58.000000,0.000000,top
"B3_D2","BB833","SOT-23",21.000000,-58.000000,0.000000,top
"B3_L1","100uH","L_1008_2520Metric",25.000000,-58.000000,0.000000,top
"B4_D2","BB833","SOT-23",29.000000,-58.000000,0.000000,top
"B4_L1","100uH","L_1008_2520Metric",33.000000,-58.000000,0.000000,top
"B5_D2","BB833","SOT-23",37.000000,-58.000000,0.000000,top
"B5_L1","100uH","L_1008_2520Metric",41.000000,-58.000000,0.000000,top
"B6_D2","BB833","SOT-23",45.000000,-58.000000,0.000000,top
"B6_L1","100uH","L_1008_2520Metric",49.000000,-58.000000,0.000000,top
"B7_D2","BB833","SOT-23",53.000000,-58.000000,0.000000,top
"B7_L1","100uH","L_1008_2520Metric",57.000000,-58.000000,0.000000,top
"B8_D2","BB833","SOT-23",61.000000,-58.000000,0.000000,top
"B8_L1","100uH","L_1008_2520Metric",65.000000,-58.000000,0.000000,top
"B9_D2","BB833","SOT-23",5.000000,-62.500000,0.000000,top
"B9_L1","100uH","L_1008_2520Metric",9.000000,-62.500000,0.000000,top
"B10_D2","BB833","SOT-23",13.000000,-62.500000,0.000000,top
"B10_L1","100uH","L_1008_2520Metric",17.000000,-62.500000,0.000000,top
"B11_D2","BB833","SOT-23",21.000000,-62.500000,0.000000,top
"B11_L1","100uH","L_1008_2520Metric",25.000000,-62.500000,0.000000,top
"B12_D2","BB833","SOT-23",29.000000,-62.500000,0.000000,top
"B12_L1","100uH","L_1008_2520Metric",33.000000,-62.500000,0.000000,top
"B13_D2","BB833","SOT-23",37.000000,-62.500000,0.000000,top
"B13_L1","100uH","L_1008_2520Metric",41.000000,-62.500000,0.000000,top
"B14_D2","BB833","SOT-23",45.000000,-62.500000,0.000000,top
"B14_L1","100uH","L_1008_2520Metric",49.000000,-62.500000,0.000000,top
"B15_D2","BB833","SOT-23",53.000000,-62.500000,0.000000,top
"B15_L1","100uH","L_1008_2520Metric",57.000000,-62.500000,0.000000,top
"CB001","Castellated_Edge","",3.000000,-70.000000,180.000000,top
"CB002","Castellated_Edge","",5.000000,-70.000000,180.000000,top
"CB003","Castellated_Edge","",7.000000,-70.000000,180.000000,top
