metric,value
spike_time_plv_mean_pairwise,0.9443263802840225
spike_time_plv_median_pairwise,0.951015702198075
spike_time_plv_min_pairwise,0.8063977640129762
spike_time_plv_max_pairwise,0.9846137673371828
hilbert_plv_mean_pairwise,0.9741309595277843
hilbert_plv_median_pairwise,0.9773816906103502
hilbert_plv_min_pairwise,0.9229240856930215
hilbert_plv_max_pairwise,0.9929913869803806
kuramoto_order_parameter_mean,0.9876596470187571
pairwise_phase_dispersion_rad,0.11999197038524523
phase_lag_distribution_std_rad,0.13055806520027557
phase_locking_value_mean_pairwise,0.9798441613247975
phase_locking_value_median_pairwise,0.981830366157402
phase_locking_value_min_pairwise,0.9377506619564476
phase_locking_value_max_pairwise,0.9930725849522242
cluster_cross_correlation,0.9239822052603828
theta_peak_frequency_hz,4.0
gamma_peak_frequency_hz,30.0
bridge_rms_current_nA,51463.15151794839
bridge_rms_current_mA,0.05146315151794839
bridge_rms_current_uA,51.46315151794839
dynamic_varactor_capacitance_mean_F,9.890024987271895e-08
dynamic_varactor_capacitance_min_F,8.204383220252312e-08
dynamic_varactor_capacitance_max_F,1.4699999999999998e-07
