time_s,V_m1_V,V_m2_V,V_m3_V,V_m4_V,V_m5_V,V_m6_V,V_m7_V,V_m8_V,V_m9_V,V_m10_V,V_m11_V,V_m12_V,V_m13_V,V_m14_V,V_m15_V,V_m16_V,mean_bridge_current_A,mean_bridge_voltage_V,mean_v_tune_V,tank_resonance_frequency_hz
0.0,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.0,0.0,0.0,1142.6585363048312
1e-05,-0.06995960860436966,-0.06996784960017792,-0.06996469715687308,-0.06995276746443028,-0.0699530715721583,-0.06994552614648769,-0.06995580507167092,-0.06997163125628336,-0.06997333656877675,-0.06996626590208682,-0.06995180238415596,-0.06994722116085467,-0.06995084171670686,-0.0699594824174762,-0.06996631198871493,-0.06996267837402316,-2.5849394142282115e-26,-3.4035563957826587e-07,0.0001000020000400008,1142.679498843108
2e-05,-0.06989052356539596,-0.07007162551390807,-0.0699672363332124,-0.06977110842778544,-0.0699085870386363,-0.06960667701865653,-0.06990286021451847,-0.0701959779155321,-0.07004148289086597,-0.07014167839937963,-0.06979840864479735,-0.06975007631130352,-0.06983403483945559,-0.06985283305408016,-0.07000886338233984,-0.06995615408045308,5.169878828456423e-26,-2.0800034688696575e-06,0.0002000040000800016,1142.707621245374
3.0000000000000004e-05,-0.06882912364734042,-0.0720725970610279,-0.06953891318326887,-0.06906531286685798,-0.07219263737531344,-0.06465872321725373,-0.07129532659730259,-0.0713505741190384,-0.06788652493242253,-0.07495809932395046,-0.06762506627017881,-0.06910077857017198,-0.07061076997256381,-0.06781425462237475,-0.07104749903648681,-0.07000324947779203,6.617444900424222e-24,-1.22143929406499e-06,0.0003000060001200024,1143.097549715284
4e-05,-0.07053223199356141,-0.05054832428286152,-0.060120842471376335,-0.09205863719368391,-0.04857142909267642,-0.09444120627380308,-0.05973401408770576,-0.03180442662473396,-0.08535051896827278,-0.042964096117806314,-0.09263545207585445,-0.09727009970709066,-0.07488733299213231,-0.08769673370776648,-0.06571398301722102,-0.058687360824689325,0.0,0.0005918494126617039,0.0004000080001600032,1145.8767758562908
5e-05,-0.07053223199356141,-0.05054832428286152,-0.060120842471376335,-0.004485516195225109,-0.0719725910505041,-0.02873502859358129,-0.05973401408770576,-0.09847109329140064,-0.08488371438524586,-0.10963076278447298,-0.0719364761488447,-0.04262604822322957,-0.07488733299213231,-0.08769673370776648,-0.06571398301722102,-0.10376511117250485,5.293955920339377e-23,0.003893672683646532,0.0005000100002000039,1146.17436817924
6.000000000000001e-05,-0.0762377331865954,-0.048523933642302716,-0.046202136760907994,-0.08484763990289845,-0.058727088536713164,-0.11418633323959688,-0.049463484668419565,-0.06716107751078575,-0.08488371438524586,-0.0395786713771029,-0.0719364761488447,-0.04262604822322957,-0.03849735212738233,-0.08769673370776648,-0.06571398301722102,-0.09095435509416167,-1.0587911840678754e-22,0.0022622588728735678,0.0006000120002400048,1146.3566268950651
7.000000000000001e-05,-0.059026306476769985,-0.09755810310580713,-0.10781251557116578,-0.056205612172694264,-0.0920604218700465,-0.08085299990626355,-0.0835810891087293,-0.06716107751078575,-0.03648743147303173,-0.06665685083089375,-0.03681052973466843,-0.10929271488989624,-0.09593459588663628,-0.034801106434119995,-0.1150371290396867,-0.024287688427495,0.0,-0.0032126533435046845,0.0007000140002800056,1146.5223129112755
8e-05,-0.08544320289376305,-0.09963727121035677,-0.09211649169121751,-0.11849842076900391,-0.08170609944761739,-0.07,-0.09340970127322959,-0.06716107751078575,-0.03648743147303173,-0.06665685083089375,-0.1034771964013351,-0.0644699766496435,-0.054228915297676185,-0.08386443965826784,-0.01503712903968668,-0.12428768842749502,0.0,-7.190416234898721e-05,0.0008000160003200064,1145.8675529583306
9e-05,-0.08544320289376305,-0.09963727121035677,-0.09211649169121751,-0.08619728856743752,-0.08170609944761739,-0.08778850494981637,-0.08099691888419341,-0.12115399235099582,-0.06715129822942079,-0.12059610652916056,-0.07014386306800177,-0.09780330998297684,-0.054228915297676185,-0.049012544561358125,-0.048370462373020014,-0.09095435509416169,0.0,-0.0005520227878943492,0.0009000180003600072,1144.8480644812303
0.0001,-0.05235214964574228,-0.08410626769461112,-0.0818995550265046,-0.08917353622893884,-0.12044932472647393,-0.08778850494981637,-0.08099691888419341,-0.12115399235099582,-0.13320848158158805,-0.05392943986249389,-0.12176061201125815,-0.09780330998297684,-0.11983240786550245,-0.09460577090228162,-0.07112779373230858,-0.08780221619629368,5.293955920339377e-23,0.001496973793353665,0.0010000200004000078,1145.784480022389
0.00011,-0.10198809881398285,-0.09155626482547291,-0.0818995550265046,-0.12345867580456496,-0.06279489047844392,-0.08778850494981637,-0.08099691888419341,-0.04653630425726414,-0.13110592967878387,-0.10604777990378386,-0.07414179954388309,-0.026148188590319518,-0.11983240786550245,-0.09743284360376643,-0.13779446039897525,-0.0826881704032425,0.0,-0.004085195832515028,0.0011000220004400087,1145.3375885638175
0.00012000000000000002,-0.1172005551154291,-0.09155626482547291,-0.09783720671950148,-0.056792009137898294,-0.111259692411945,-0.08778850494981637,-0.08099691888419341,-0.06456772792841559,-0.031105929678783853,-0.11011401715106273,-0.06370861619800339,-0.10786308915826996,-0.11292943427942731,-0.1346186628267251,-0.13779446039897525,-0.06741440640638156,-5.293955920339377e-23,0.0005630228857744831,0.0012000240004800095,1146.1509726880483
0.00013000000000000002,-0.08844964514114613,-0.0786582614926922,-0.07193655610534515,-0.08417002944376656,-0.05708817706460981,-0.12996408736849735,-0.08099691888419341,-0.11879107909678505,-0.07774455853072104,-0.05809453527128234,-0.13037528286467004,-0.09575813832683511,-0.08449709382223121,-0.07581039951443203,-0.04599845268871079,-0.1297663063104685,2.117582368135751e-22,0.00556515994883498,0.0013000260005200104,1146.9841624603869
0.00014000000000000001,-0.08844964514114613,-0.06529586745635294,-0.1575279231761525,-0.08417002944376656,-0.11549489570738788,-0.06329742070183068,-0.08099691888419341,-0.11879107909678505,-0.10948491262317928,-0.13142741800324367,-0.07483254945161436,-0.09575813832683511,-0.07589098784689155,-0.00914373284776536,-0.0926016384337481,-0.07896918673502173,-5.293955920339377e-23,-0.006269580294591157,0.0014000280005600112,1146.2670617592603
0.00015000000000000001,-0.12714245018106748,-0.09632495652371559,-0.0997233032532786,-0.09415235672516123,-0.07020740674025638,-0.0942313244980229,-0.08099691888419341,-0.11879107909678505,-0.04529162168714185,-0.06476075133657701,-0.11435606627951472,-0.07886813889722616,-0.0778963700414056,-0.10914373284776538,-0.03491129999135117,-0.10017260471270151,0.0,-0.0009905303461665265,0.0015000300006000119,1146.077429097922
0.00016,-0.0826428621443894,-0.09632495652371559,-0.0997233032532786,-0.09415235672516123,-0.07020740674025638,-0.09433453983395183,-0.08099691888419341,-0.11879107909678505,-0.10455807889402766,-0.09809408466991035,-0.04768939961284806,-0.06426230477954843,-0.09263254121219591,-0.10914373284776538,-0.13491129999135118,-0.04744965561612671,-5.293955920339377e-23,-0.000587155906348065,0.0016000320006400127,1145.3338502026554
0.00017,-0.05465772628121941,-0.0388464753642829,-0.08791032549568287,-0.06601239754010478,-0.11457261981310635,-0.09433453983395183,-0.11116991026851154,-0.034781665709167645,-0.10455807889402766,-0.09809408466991035,-0.06445507570370627,-0.08987975429571943,-0.11840776753035645,-0.10914373284776538,-0.10157796665801785,-0.10185466236265645,0.0,0.0034953955044351916,0.0017000340006800136,1145.9005993753553
0.00018,-0.08835950073343085,-0.07462682010406925,-0.04088519193964333,-0.07,-0.056803504838481574,-0.09433453983395183,-0.05200249582219562,-0.06811499904250098,-0.12875264235536735,-0.09809408466991035,-0.13112174237037294,-0.06935161849447247,-0.08412876979758885,-0.06671053923098419,-0.10157796665801785,-0.07976011704122533,1.5881867761018131e-22,-0.0005213251331665433,0.0018000360007200144,1145.750942296937
0.00019,-0.1009609412342697,-0.06869053018406637,-0.11666364521221528,-0.07,-0.062467773913828496,-0.09433453983395183,-0.04293646568766309,-0.0720352162242495,-0.06208597568870068,-0.09175246995827148,-0.09582130150687768,-0.06935161849447247,-0.08381909982443919,-0.1399698339358641,-0.0973178043868618,-0.07976011704122533,-2.117582368135751e-22,0.001098537485689513,0.0019000380007600153,1145.9261051206627
0.0002,-0.04967758570464314,-0.10527558762814553,-0.08333031187888196,-0.09997337528404698,-0.062467773913828496,-0.07411107435062544,-0.10960313235432975,-0.09661952218694493,-0.09800322822675439,-0.06771304346797075,-0.02915463484021101,-0.11766073349906059,-0.08832569333814035,-0.05872407736130855,-0.0973178043868618,-0.09342424888539788,0.0,0.004530773422836458,0.0020000400008000157,1146.2639242973723
