V_tune_V,V_rev_V,C_var_F,C_total_F,resonance_frequency_hz
0.0,0.0,1.4699999999999998e-07,1.9400249999999998e-07,1142.6585363048312
0.1,0.1,1.4054143466934854e-07,1.8754393466934854e-07,1162.1672157539924
0.2,0.2,1.3519171036881968e-07,1.8219421036881968e-07,1179.105989770648
0.30000000000000004,0.30000000000000004,1.3066600265340756e-07,1.7766850265340756e-07,1194.0290980678342
0.4,0.4,1.2677240352174656e-07,1.7377490352174657e-07,1207.3316996769229
0.5,0.5,1.2337626158259733e-07,1.7037876158259733e-07,1219.3051356792057
0.6000000000000001,0.6000000000000001,1.2037993857053427e-07,1.6738243857053427e-07,1230.1701544841687
0.7000000000000001,0.7000000000000001,1.1771067811865474e-07,1.6471317811865474e-07,1240.0978603691794
0.8,0.8,1.1531300510639732e-07,1.6231550510639733e-07,1249.2234494075044
0.9,0.9,1.1314378277661476e-07,1.6014628277661476e-07,1257.6555172681212
1.0,1.0,1.1116889479197478e-07,1.5817139479197477e-07,1265.4825456519125
1.1,1.1,1.0936095644623234e-07,1.5636345644623236e-07,1272.7775331786181
1.2000000000000002,1.2000000000000002,1.0769769786668839e-07,1.547001978666884e-07,1279.6013719609878
1.3,1.3,1.0616079783099615e-07,1.5316329783099615e-07,1286.0053556966875
1.4000000000000001,1.4000000000000001,1.0473502691896257e-07,1.5173752691896257e-07,1292.0330735612515
1.5,1.5,1.0340760748177662e-07,1.5041010748177662e-07,1297.7218614826782
1.6,1.6,1.0216772843673704e-07,1.4917022843673705e-07,1303.1039290284286
1.7000000000000002,1.7000000000000002,1.0100617248673216e-07,1.4800867248673214e-07,1308.207244921201
1.8,1.8,9.991502622129181e-08,1.4691752622129182e-07,1313.0562404715165
1.9000000000000001,1.9000000000000001,9.888745216627707e-08,1.4588995216627707e-07,1317.672373925642
2.0,2.0,9.791750772173155e-08,1.4492000772173155e-07,1322.0745873537023
2.1,2.1,9.7e-08,1.4400249999999998e-07,1326.2796796379885
2.2,2.2,9.613036844405174e-08,1.4313286844405174e-07,1330.302613321283
2.3000000000000003,2.3000000000000003,9.530458915396479e-08,1.423070891539648e-07,1334.1567688490456
2.4000000000000004,2.4000000000000004,9.451909633114914e-08,1.4152159633114915e-07,1337.854156623001
2.5,2.5,9.377071733467426e-08,1.4077321733467426e-07,1341.4055949600522
2.6,2.6,9.305661864718381e-08,1.400591186471838e-07,1344.8208602998334
2.7,2.7,9.23742606486515e-08,1.393767606486515e-07,1348.1088146726368
2.8000000000000003,2.8000000000000003,9.172135954999579e-08,1.387238595499958e-07,1351.2775144174198
2.9000000000000004,2.9000000000000004,9.109585518440983e-08,1.3809835518440983e-07,1354.334303348587
3.0,3.0,9.0495883620084e-08,1.3749838362008399e-07,1357.285892953159
3.1,3.1,8.99197537639476e-08,1.369222537639476e-07,1360.1384317150093
3.2,3.2,8.936592728681616e-08,1.3636842728681616e-07,1362.8975652790539
3.3000000000000003,3.3000000000000003,8.883300132670377e-08,1.3583550132670377e-07,1365.5684888625767
3.4000000000000004,3.4000000000000004,8.831969352706686e-08,1.3532219352706687e-07,1368.1559930758328
3.5,3.5,8.78248290463863e-08,1.348273290463863e-07,1370.6645041164861
3.6,3.6,8.734732923929644e-08,1.3434982923929644e-07,1373.098119142267
3.7,3.7,8.688620176087327e-08,1.3388870176087327e-07,1375.4606374956727
3.8000000000000003,3.8000000000000003,8.644053188733077e-08,1.3344303188733077e-07,1377.7555883475818
3.9000000000000004,3.9000000000000004,8.600947488027469e-08,1.330119748802747e-07,1379.9862552386248
4.0,4.0,8.559224924939799e-08,1.32594749249398e-07,1382.155697924379
4.1000000000000005,4.1000000000000005,8.518813079129866e-08,1.3219063079129866e-07,1384.2667718699968
4.2,4.2,8.479644730092272e-08,1.3179894730092272e-07,1386.3221456894923
4.3,4.3,8.44165738677394e-08,1.314190738677394e-07,1388.3243167827068
4.4,4.4,8.404792868174741e-08,1.310504286817474e-07,1390.2756253875075
4.5,4.5,8.368996928526714e-08,1.3069246928526714e-07,1392.1782672348852
4.6000000000000005,4.6000000000000005,8.334218921558154e-08,1.3034468921558154e-07,1394.0343049692842
4.7,4.7,8.300411499115477e-08,1.3000661499115477e-07,1395.8456784750113
4.800000000000001,4.800000000000001,8.267530340063378e-08,1.2967780340063378e-07,1397.6142142312613
4.9,4.9,8.235533905932736e-08,1.2935783905932736e-07,1399.3416338026373
5.0,5.0,8.204383220252312e-08,1.2904633220252313e-07,1401.02956155864
